 ,name,title,lead_source,industry,employees,country,converted
85,Michael Nguyen,Growth Marketing Manager,Webinar,Software & Services,3230,DZ,false
86,Aaron Barker,Data Scientist,Sign-up,Software & Services,4705,BF,true
87,Rachel Acosta,Data Engineer,Sign-up,Commercial & Professional Services,1355,CZ,false
88,Kathryn Matthews,Product Manager,Sign-up,Consumer Staples,5780,SK,false
89,Michael Casey,Account Executive,Sign-up,Consumer Staples,2530,GE,false
90,Richard Moore,Product Manager,Sign-up,Commercial & Professional Services,55,NE,true
91,Janet Peterson,Product Manager,Sign-up,Commercial & Professional Services,11605,BN,true
92,Adriana Young,CFO,Sign-up,Software & Services,3805,IQ,false
93,Nichole Anderson,Data Scientist,Demo Requested,Technology Hardware & Equipment,7380,OM,false
94,Thomas Smith,Analytics Manager,Demo Requested,Software & Services,2055,US,true
95,Tiffany Green,Analytics Manager,Sign-up,Commercial & Professional Services,14730,TZ,false
96,Anne Wilson,Analytics Manager,Demo Requested,Consumer Staples,4480,PW,false
97,Samantha Grant,Account Executive,Demo Requested,Software & Services,2330,PW,false
98,Stephen Odom,CEO,Sign-up,Consumer Staples,7380,HR,false
99,Jenna Mason,VP Marketing,Sign-up,Commercial & Professional Services,2955,,true
100,Andrea Barron,VP Marketing,Sign-up,Commercial & Professional Services,9255,VU,false
101,Jonathan Barker,CFO,Sign-up,Commercial & Professional Services,7355,OM,false
102,Amber Maldonado,Product Manager,In-Person Event,Commercial & Professional Services,355,TG,true
103,Dorothy Armstrong,Data Analyst,Sign-up,Commercial & Professional Services,3930,SB,false
104,Monica Torres,Account Executive,In-Person Event,Consumer Durables & Apparel,6230,PH,false
105,Mary Davis,VP Engineering,In-Person Event,Commercial & Professional Services,1780,IS,true
106,Philip Smith Jr.,VP Engineering,Sign-up,Commercial & Professional Services,7630,TZ,true
107,Brittany Hernandez,VP Marketing,Demo Requested,Commercial & Professional Services,14130,ST,false
108,Margaret Flores,Product Manager,Demo Requested,Commercial & Professional Services,10505,BD,true
109,Michael Jennings,Foudner,Sign-up,Consumer Staples,3880,SA,false
110,Ashley Ellis,Analytics Engineer,In-Person Event,Technology Hardware & Equipment,11255,BZ,false
111,Wendy Reed,Account Executive,In-Person Event,Consumer Durables & Apparel,1905,PW,true
112,Erica Peterson,Foudner,Demo Requested,Technology Hardware & Equipment,13655,MU,false
113,Ray Shaw,VP Data,In-Person Event,Commercial & Professional Services,1755,GW,false
114,Elizabeth Mitchell,Data Engineer,Sign-up,Commercial & Professional Services,2555,PA,false
115,Sharon Johnston,Analytics Engineer,In-Person Event,Commercial & Professional Services,9580,NR,false
116,Christy Avila,CEO,Sign-up,Commercial & Professional Services,9780,VN,true
117,Jennifer Villarreal,Product Manager,Sign-up,Commercial & Professional Services,6530,TL,false
118,Tara Huffman,CEO,Sign-up,Consumer Durables & Apparel,7655,DZ,false
119,Sylvia Maddox,Data Scientist,Sign-up,Commercial & Professional Services,12355,CD,false
120,John Koch,Data Scientist,Sign-up,Technology Hardware & Equipment,10130,IS,false
121,Susan Castro,Growth Marketing Manager,Webinar,Consumer Staples,7330,GT,false
122,Amanda Gonzales,Analytics Manager,Demo Requested,Consumer Staples,3505,YE,false
123,Jason Knight,VP Marketing,Sign-up,Commercial & Professional Services,3355,BW,true
124,Cheryl Wilson,CFO,Sign-up,Software & Services,9355,SM,false
125,Anthony Becker,VP Data,Webinar,Commercial & Professional Services,8655,CI,true
126,Jessica Chang,Product Manager,In-Person Event,Consumer Staples,10155,TH,false
127,John Perkins,Data Analyst,Sign-up,Consumer Staples,6705,TV,false
128,Richard Long,Product Manager,Sign-up,Consumer Staples,14355,LR,false
129,Gregory Grimes,VP Marketing,Webinar,Commercial & Professional Services,10455,CI,false
130,Deanna Hawkins,VP Data,Sign-up,Commercial & Professional Services,13755,CR,false
131,Lauren Alexander,Account Executive,Demo Requested,Consumer Staples,10605,TD,false
132,Taylor Collins,Analytics Manager,Sign-up,Commercial & Professional Services,11355,PA,false
133,Maurice Turner,Owner,Demo Requested,Consumer Durables & Apparel,9180,BH,false
134,Madison Ayers,VP Marketing,Sign-up,Commercial & Professional Services,530,BE,true
135,Dr. Antonio Goodwin,CFO,Sign-up,Consumer Staples,5305,TZ,false
136,Rebecca Gallagher,Software Engineer,In-Person Event,Software & Services,7080,CY,true
137,Kyle Yu,Solutions Architect,Sign-up,Commercial & Professional Services,6080,TZ,false
138,Holly Bailey,Account Executive,Demo Requested,Consumer Staples,12180,PE,false
139,Timothy Jackson,VP Engineering,Sign-up,Consumer Staples,13330,KI,false
140,Alexander Meza,VP Data,In-Person Event,Software & Services,2755,RW,true
141,Thomas Stevens,Analytics Engineer,Demo Requested,Commercial & Professional Services,7030,VU,false
142,Joseph Miller,VP Engineering,Sign-up,Software & Services,11005,BZ,false
143,Victoria Farmer,CFO,Sign-up,Technology Hardware & Equipment,10580,LU,false
144,Elizabeth Mullins,Analytics Engineer,Sign-up,Consumer Staples,9580,DE,false
145,Jamie Patterson,Data Engineer,Sign-up,Commercial & Professional Services,9530,CO,false
146,Chris Peters,Analytics Engineer,Demo Requested,Software & Services,10830,WS,false
147,Marc Smith,Data Analyst,Demo Requested,Commercial & Professional Services,12330,GR,false
148,Russell Blair,Data Analyst,In-Person Event,Software & Services,10980,TJ,true
149,Bryan Ayers,Solutions Architect,Demo Requested,Consumer Staples,6830,AT,false
150,Patricia Chaney,Analytics Engineer,Sign-up,Commercial & Professional Services,3655,TM,false
151,Brenda Davis,Solutions Architect,Sign-up,Software & Services,9630,NL,false
152,Kathleen Mccoy,Analytics Engineer,In-Person Event,Software & Services,2155,BF,false
153,Mary Garcia,Data Engineer,Sign-up,Consumer Staples,12430,UZ,false
154,James Fowler,Data Analyst,Sign-up,Commercial & Professional Services,12455,SL,false
155,Yolanda Fischer,Growth Marketing Manager,Sign-up,Commercial & Professional Services,5405,CU,false
156,Anna Knox,VP Data,In-Person Event,Commercial & Professional Services,9730,SN,false
157,Donna Lang,Owner,Sign-up,Technology Hardware & Equipment,1080,NZ,false
158,Paul Clark,Account Executive,Demo Requested,Consumer Staples,10680,JP,false
159,William Cochran,VP Marketing,In-Person Event,Consumer Durables & Apparel,2255,NZ,false
160,Todd Johnson,VP Engineering,Sign-up,Technology Hardware & Equipment,8680,GN,false
161,William Cruz,Data Analyst,Demo Requested,Commercial & Professional Services,8930,MG,false
162,Austin Braun MD,Product Manager,Sign-up,Commercial & Professional Services,4430,UY,false
163,Michelle Marshall,VP Data,Sign-up,Software & Services,14830,PE,true
164,Jason Cummings MD,Analytics Engineer,In-Person Event,Consumer Staples,3855,OM,true
165,Louis Mueller,Analytics Manager,Demo Requested,Commercial & Professional Services,1880,KR,true
166,Kevin Casey DVM,Data Scientist,Sign-up,Technology Hardware & Equipment,2305,VE,true
167,Laurie Thompson,Growth Marketing Manager,Sign-up,Technology Hardware & Equipment,4805,LI,false
168,Terry Garza,VP Marketing,Sign-up,Technology Hardware & Equipment,8780,LC,false
169,Tiffany Green,VP Marketing,Webinar,Software & Services,4055,MM,false
170,David Clark,Analytics Engineer,Demo Requested,Commercial & Professional Services,8555,BI,false
171,Dr. Henry Garcia,Analytics Manager,In-Person Event,Consumer Staples,3830,LT,false
172,Isaac Haynes,Data Scientist,Webinar,Consumer Staples,10030,CO,false
173,Wesley Moore,Foudner,Demo Requested,Commercial & Professional Services,3255,SV,false
174,Melinda Tate,VP Engineering,Sign-up,Consumer Staples,13005,ML,false
175,Leslie Donovan,Analytics Engineer,Webinar,Software & Services,5780,CU,false
176,Laura Barber,VP Engineering,In-Person Event,Technology Hardware & Equipment,13480,AZ,false
177,Larry Kramer,Foudner,Sign-up,Commercial & Professional Services,4230,WS,false
178,Charles Jones,Product Manager,Webinar,Consumer Staples,11480,HT,false
179,Jennifer White,VP Data,Webinar,Commercial & Professional Services,14605,OM,false
180,Timothy Hunt,VP Engineering,Sign-up,Commercial & Professional Services,5105,UY,false
181,Wendy Lucas,Owner,Demo Requested,Commercial & Professional Services,13205,CM,false
182,Christian Henderson,VP Engineering,Sign-up,Software & Services,5680,PG,false
183,Gregory Bailey,Foudner,Demo Requested,Commercial & Professional Services,2080,MR,false
184,Cynthia Hendrix,Analytics Engineer,In-Person Event,Commercial & Professional Services,7330,PW,false
185,John Jimenez,VP Marketing,Demo Requested,Consumer Durables & Apparel,480,IE,false
186,Benjamin Nelson,VP Engineering,Sign-up,Consumer Staples,6080,KI,false
187,Darlene Solis,VP Marketing,Sign-up,Technology Hardware & Equipment,12780,UG,false
188,Mary Scott,Software Engineer,Sign-up,Commercial & Professional Services,9030,GY,true
189,Sara Simpson,VP Engineering,Webinar,Commercial & Professional Services,13455,ST,false
190,Michael Rivera,Foudner,In-Person Event,Commercial & Professional Services,9905,MR,false
191,Matthew Tanner,Owner,Sign-up,Consumer Staples,2655,TT,true
192,Christopher Baker,Analytics Engineer,In-Person Event,Commercial & Professional Services,11880,MC,false
193,Alexis Salas,VP Marketing,Sign-up,Commercial & Professional Services,5105,BB,false
194,Ronnie Terry,VP Data,Sign-up,Consumer Staples,4880,JO,false
195,Kathryn Allen,Analytics Engineer,Sign-up,Consumer Staples,11180,MZ,false
196,Gary Ewing,CEO,Sign-up,Software & Services,13280,IQ,false
197,Greg Faulkner,CEO,Demo Requested,Commercial & Professional Services,2030,LR,false
198,Kelly Barker,Account Executive,Sign-up,Software & Services,11430,BB,false
199,Nicholas Brown,Account Executive,Sign-up,Consumer Durables & Apparel,1455,BO,false
200,Jesus Porter,CEO,Webinar,Commercial & Professional Services,11205,AU,false
201,Anna Zuniga,Owner,Sign-up,Software & Services,3930,GD,false
202,Abigail Hill,Data Engineer,Demo Requested,Software & Services,10180,KW,false
203,Michelle Berger,CEO,Sign-up,Commercial & Professional Services,14380,CL,false
204,Steven Jones,Data Scientist,Demo Requested,Consumer Durables & Apparel,5105,CM,false
205,John Johnson,VP Marketing,Webinar,Technology Hardware & Equipment,8180,TL,true
206,Jonathan Tanner Jr.,Data Scientist,In-Person Event,Consumer Staples,4455,ML,false
207,Lance Nielsen,Software Engineer,Sign-up,Software & Services,9230,TG,true
208,Brian Clark,Software Engineer,Demo Requested,Commercial & Professional Services,7905,MY,true
209,Michelle Myers,Data Engineer,Sign-up,Commercial & Professional Services,1880,PG,false
210,Matthew Rhodes,CEO,In-Person Event,Commercial & Professional Services,12855,BG,false
211,Jordan Villarreal,CEO,Sign-up,Consumer Staples,8855,SI,false
212,Angela Woods,Analytics Manager,Sign-up,Commercial & Professional Services,13655,BW,false
213,Michael Vazquez,Software Engineer,Sign-up,Consumer Staples,8630,TM,false
214,Melissa Weber,Analytics Manager,Demo Requested,Consumer Staples,10655,VN,false
215,Elizabeth King,Data Scientist,Demo Requested,Commercial & Professional Services,6255,LA,false
216,Toni Carr,CEO,Sign-up,Software & Services,5205,LV,false
217,Anthony Rodgers,Owner,Webinar,Commercial & Professional Services,9480,SG,false
218,William Castaneda,Analytics Manager,Sign-up,Commercial & Professional Services,1280,JP,true
219,Jason Davis,CEO,In-Person Event,Consumer Durables & Apparel,8005,ET,false
220,Lindsey Johnson,VP Data,In-Person Event,Software & Services,2305,MX,true
221,Tommy Crawford,Owner,Sign-up,Commercial & Professional Services,12030,JO,false
222,William Brooks,Analytics Manager,In-Person Event,Consumer Staples,9355,BD,false
223,James Collins,Data Scientist,Sign-up,Software & Services,14080,IT,false
224,Edward Wyatt,Software Engineer,Webinar,Commercial & Professional Services,8680,TH,false
225,Dr. Jessica Turner,VP Engineering,Sign-up,Commercial & Professional Services,980,CU,false
226,Rachel Patterson,Software Engineer,Demo Requested,Software & Services,8380,VA,false
227,Victoria Hester,Data Scientist,Demo Requested,Software & Services,13030,SN,false
228,Edgar Lowery,Analytics Engineer,Demo Requested,Consumer Durables & Apparel,14930,KP,false
229,Robert Vance,Solutions Architect,Demo Requested,Commercial & Professional Services,14805,TR,false
230,Joshua Donaldson,VP Engineering,Demo Requested,Consumer Staples,9730,CY,false
231,Courtney Hines,Data Analyst,Sign-up,Software & Services,10705,CZ,false
232,Jorge Cannon,VP Data,In-Person Event,Consumer Staples,1580,MA,false
233,Jacqueline Vazquez,VP Data,Demo Requested,Commercial & Professional Services,4430,PK,true
234,Calvin Mahoney,Analytics Manager,Demo Requested,Commercial & Professional Services,6305,IT,false
235,Kyle Carlson,Data Scientist,In-Person Event,Consumer Staples,12505,LB,false
236,Monica Walton,Analytics Manager,Sign-up,Software & Services,13905,MU,true
237,Caleb Jackson,Software Engineer,Sign-up,Commercial & Professional Services,2005,LY,true
238,Richard Hopkins,CFO,Sign-up,Software & Services,14380,MC,false
239,Juan Garcia,Product Manager,Sign-up,Consumer Staples,13580,GR,false
240,Taylor Hanson,VP Data,Sign-up,Consumer Staples,130,SY,false
241,James Scott,VP Data,Sign-up,Commercial & Professional Services,7355,LI,false
242,Alexander Thornton,Product Manager,Demo Requested,Consumer Staples,955,EC,false
243,Richard Mcknight,Growth Marketing Manager,Webinar,Commercial & Professional Services,12680,ER,false
244,William Golden,Growth Marketing Manager,Sign-up,Software & Services,2730,LT,false
245,Thomas Parker,VP Data,In-Person Event,Commercial & Professional Services,12905,PT,true
246,Dawn Castillo,VP Marketing,Demo Requested,Consumer Staples,355,LK,false
247,Jennifer Barron,CFO,Sign-up,Technology Hardware & Equipment,10380,NP,false
248,Kevin Jordan,CEO,Webinar,Software & Services,6355,AF,false
249,Sherry Allison,Analytics Engineer,Sign-up,Consumer Staples,280,IL,false
250,Courtney Walker,Data Analyst,Sign-up,Commercial & Professional Services,12855,MA,false
251,Fred Wood,Data Scientist,Sign-up,Commercial & Professional Services,3405,QA,true
252,Joshua Jennings,Account Executive,In-Person Event,Consumer Durables & Apparel,13755,TL,false
253,Michael Brown,Data Engineer,Demo Requested,Software & Services,9255,BO,false
254,Pamela Jones,VP Engineering,Sign-up,Software & Services,4205,LR,false
255,Cathy Bright,VP Data,Sign-up,Software & Services,1405,PH,false
256,Catherine Thomas,VP Marketing,Demo Requested,Commercial & Professional Services,555,MY,true
257,Kimberly Poole,Data Engineer,Sign-up,Commercial & Professional Services,1630,SR,true
258,Stephen Peck,Growth Marketing Manager,Sign-up,Commercial & Professional Services,3455,BA,false
259,Nathan Reese,Foudner,Sign-up,Consumer Durables & Apparel,9655,MT,false
260,Michelle Jordan,Software Engineer,Demo Requested,Commercial & Professional Services,4555,SO,true
261,Susan Soto,Solutions Architect,In-Person Event,Consumer Durables & Apparel,11855,GQ,false
262,Stephen Johnson,Product Manager,Sign-up,Commercial & Professional Services,7055,ET,false
263,Terri Ferguson,Account Executive,Demo Requested,Consumer Durables & Apparel,405,GY,false
264,Theresa Jones DDS,Growth Marketing Manager,Sign-up,Commercial & Professional Services,11230,HT,false
265,Taylor Whitehead,Software Engineer,Demo Requested,Commercial & Professional Services,14730,LB,false
266,David Howard,Product Manager,Sign-up,Commercial & Professional Services,13330,GN,true
267,Scott Mckenzie,CEO,Demo Requested,Software & Services,12680,BE,false
268,Kristie Miller,VP Engineering,Sign-up,Software & Services,3805,KG,true
269,Laurie Allen,Product Manager,Sign-up,Consumer Staples,11855,BG,false
270,Ryan Martin,Software Engineer,Sign-up,Commercial & Professional Services,8455,KH,true
271,Elizabeth Hart,CFO,Sign-up,Commercial & Professional Services,1005,BN,false
272,Gerald Dennis,CFO,Sign-up,Technology Hardware & Equipment,8505,KI,false
273,Lisa Howard,Data Analyst,In-Person Event,Consumer Staples,6205,MC,false
274,Caitlin Wilson,Analytics Engineer,In-Person Event,Commercial & Professional Services,13655,CF,false
275,Eric Hunter,VP Data,Sign-up,Technology Hardware & Equipment,12005,PS,false
276,Tiffany Moore,Account Executive,Sign-up,Technology Hardware & Equipment,3730,AM,false
277,William Harvey,Account Executive,Sign-up,Commercial & Professional Services,5880,MU,false
278,Joshua Yang Jr.,Analytics Engineer,Sign-up,Technology Hardware & Equipment,12555,PK,false
279,Allison Mckay,VP Data,Sign-up,Technology Hardware & Equipment,1505,SL,false
280,Randall Flores,Growth Marketing Manager,In-Person Event,Software & Services,5905,BJ,true
281,Sarah Hernandez,Owner,Sign-up,Consumer Staples,12355,KM,false
282,Dawn Malone,VP Engineering,In-Person Event,Software & Services,7330,AM,false
283,Lori Miller,CEO,Sign-up,Commercial & Professional Services,3805,GY,true
284,Christopher Perez,Analytics Manager,In-Person Event,Commercial & Professional Services,10380,PK,false
285,Marc Walker,Data Engineer,Demo Requested,Technology Hardware & Equipment,805,BW,false
286,Paul Mendoza,Solutions Architect,In-Person Event,Commercial & Professional Services,11105,KH,false
287,David Kim,Data Analyst,In-Person Event,Consumer Durables & Apparel,5880,GH,false
288,Todd Patel,Analytics Manager,Sign-up,Commercial & Professional Services,7180,ST,false
289,Margaret Garrison,Analytics Engineer,Sign-up,Commercial & Professional Services,3680,GB,true
290,Paul Mcdonald,Data Scientist,Sign-up,Commercial & Professional Services,9955,GD,false
291,Alexis Ellis,Software Engineer,In-Person Event,Consumer Staples,2005,SC,false
292,Valerie Barber,Product Manager,In-Person Event,Commercial & Professional Services,10155,LR,false
293,Steven Chapman,VP Data,Sign-up,Software & Services,9605,NR,false
294,Juan Collins,Data Scientist,In-Person Event,Consumer Staples,2105,IQ,false
295,James Campbell,Foudner,Sign-up,Commercial & Professional Services,130,KP,false
296,Tyler Brown,Data Engineer,Sign-up,Software & Services,14205,SG,false
297,Stephanie Horn,Data Engineer,Demo Requested,Consumer Staples,9855,AL,false
298,Allen Smith,Product Manager,Demo Requested,Commercial & Professional Services,9730,DO,false
299,Vernon Little,Data Engineer,Sign-up,Commercial & Professional Services,7655,RO,false
300,Zachary Collins,VP Data,Demo Requested,Commercial & Professional Services,2730,CR,true
301,Felicia Foster DVM,Foudner,In-Person Event,Commercial & Professional Services,8555,NR,false
302,Tanya Scott,Software Engineer,Sign-up,Consumer Staples,5130,QA,false
303,Paula Price,Data Scientist,In-Person Event,Consumer Staples,14730,HN,false
304,Jill Miller,Owner,Sign-up,Software & Services,13955,EG,false
305,Tammy Nunez,VP Marketing,Webinar,Commercial & Professional Services,7455,MD,false
306,Donna Baker,VP Data,Sign-up,Commercial & Professional Services,6455,KM,false
307,Michelle Stevens,VP Marketing,Webinar,Software & Services,10255,SN,true
308,Peter Nash Jr.,Growth Marketing Manager,In-Person Event,Commercial & Professional Services,13730,UG,true
309,Thomas Owens,Owner,Sign-up,Consumer Staples,14405,KH,false
310,Jamie Cooke MD,Account Executive,Sign-up,Commercial & Professional Services,5680,SE,false
311,Alexandria Lynch,Product Manager,Sign-up,Commercial & Professional Services,12805,CZ,true
312,Melissa Green,Account Executive,Webinar,Commercial & Professional Services,3630,MG,false
313,Mark Duffy,VP Data,Sign-up,Commercial & Professional Services,11580,LB,false
314,Allison Donovan,Solutions Architect,In-Person Event,Consumer Staples,4205,SZ,false
315,Michael Lopez,Account Executive,Webinar,Commercial & Professional Services,10355,ZM,false
316,Belinda Wood,Solutions Architect,In-Person Event,Technology Hardware & Equipment,11505,UA,true
317,Jonathan Williams,Analytics Manager,In-Person Event,Technology Hardware & Equipment,1605,TR,true
318,Dan Brown,Analytics Engineer,Sign-up,Commercial & Professional Services,12530,SM,false
319,Mr. Anthony Rodriguez,Foudner,Demo Requested,Commercial & Professional Services,11705,VN,false
320,Ashley Allen,Data Engineer,Demo Requested,Commercial & Professional Services,6105,KP,false
321,Judy Johnson,Foudner,Sign-up,Commercial & Professional Services,9805,NO,false
322,Jeffrey Atkins,CEO,Demo Requested,Software & Services,3580,ER,true
323,Jon May,Owner,Webinar,Software & Services,4980,MV,true
324,Jacob Stewart,VP Data,Sign-up,Technology Hardware & Equipment,12505,DM,false
325,Aaron Webb,Data Scientist,Sign-up,Commercial & Professional Services,7380,DO,false
326,Melissa Lowery,VP Data,Demo Requested,Commercial & Professional Services,2905,IQ,true
327,Brianna Ramos,Growth Marketing Manager,In-Person Event,Software & Services,5580,NO,false
328,Robert Brown,Data Scientist,In-Person Event,Commercial & Professional Services,6730,MG,false
329,John Shepherd,Data Analyst,In-Person Event,Commercial & Professional Services,8980,KN,false
330,Alejandro Brooks,CFO,In-Person Event,Technology Hardware & Equipment,14580,MG,false
331,Lindsay Jordan,Data Scientist,Sign-up,Commercial & Professional Services,13155,GD,false
332,Cynthia Adams,Account Executive,Webinar,Consumer Durables & Apparel,3230,ME,false
333,Travis Archer,Product Manager,In-Person Event,Consumer Staples,12530,CV,true
334,Richard Ramirez,VP Marketing,Sign-up,Consumer Staples,2380,,false
335,Ronald Richmond,Owner,Sign-up,Software & Services,14880,AD,false
336,Michael Craig,VP Marketing,Demo Requested,Consumer Staples,1605,SN,false
337,Roberta Mckay,VP Data,Sign-up,Technology Hardware & Equipment,8630,SY,false
338,Chad Skinner,Analytics Engineer,In-Person Event,Consumer Staples,1180,BZ,false
